name,type,path
README.md,File,README.md
CHANGELOG.md,File,CHANGELOG.md
Jekyll,Module,Jekyll.md
Jekyll::Slides,Module,Jekyll/Slides.md
Jekyll::Slides.ROOT,Constant,Jekyll/Slides.md#constant-ROOT
Jekyll::Slides.LAYOUT_NAME,Constant,Jekyll/Slides.md#constant-LAYOUT_NAME
Jekyll::Slides.THEMES,Constant,Jekyll/Slides.md#constant-THEMES
Jekyll::Slides.DEFAULT_THEME,Constant,Jekyll/Slides.md#constant-DEFAULT_THEME
Jekyll::Slides.VERSION,Constant,Jekyll/Slides.md#constant-VERSION
Jekyll::Slides::Assets,Module,Jekyll/Slides/Assets.md
Jekyll::Slides::Assets.asset_files,Method,Jekyll/Slides/Assets.md#method-c-asset_files
Jekyll::Slides::Assets.install,Method,Jekyll/Slides/Assets.md#method-c-install
Jekyll::Slides::Support,Module,Jekyll/Slides/Support.md
Jekyll::Slides::Support.escape,Method,Jekyll/Slides/Support.md#method-c-escape
Jekyll::Slides::Support.natural_sort_key,Method,Jekyll/Slides/Support.md#method-c-natural_sort_key
Jekyll::Slides::Support.warn,Method,Jekyll/Slides/Support.md#method-c-warn
Jekyll::Slides::FrontMatter,Module,Jekyll/Slides/FrontMatter.md
Jekyll::Slides::FrontMatter.parse,Method,Jekyll/Slides/FrontMatter.md#method-c-parse
Jekyll::Slides::FrontMatter.split,Method,Jekyll/Slides/FrontMatter.md#method-c-split
Jekyll::Slides::DeckAssembler,Module,Jekyll/Slides/DeckAssembler.md
Jekyll::Slides::DeckAssembler.assemble,Method,Jekyll/Slides/DeckAssembler.md#method-c-assemble
Jekyll::Slides::JekyllIntegration,Module,Jekyll/Slides/JekyllIntegration.md
Jekyll::Slides::JekyllIntegration.DEFAULTS,Constant,Jekyll/Slides/JekyllIntegration.md#constant-DEFAULTS
Jekyll::Slides::JekyllIntegration.BOOLEAN_OPTIONS,Constant,Jekyll/Slides/JekyllIntegration.md#constant-BOOLEAN_OPTIONS
Jekyll::Slides::JekyllIntegration.OPTION_KEYS,Constant,Jekyll/Slides/JekyllIntegration.md#constant-OPTION_KEYS
Jekyll::Slides::JekyllIntegration.install!,Method,Jekyll/Slides/JekyllIntegration.md#method-c-install-21
Jekyll::Slides::JekyllIntegration.process,Method,Jekyll/Slides/JekyllIntegration.md#method-c-process
Jekyll::Slides::JekyllIntegration.process_site,Method,Jekyll/Slides/JekyllIntegration.md#method-c-process_site
Jekyll::Slides::Deck,Class,Jekyll/Slides/Deck.md
Jekyll::Slides::Deck.OPTION_KEYS,Constant,Jekyll/Slides/Deck.md#constant-OPTION_KEYS
Jekyll::Slides::Deck.consumed_paths,Method,Jekyll/Slides/Deck.md#method-i-consumed_paths
Jekyll::Slides::Deck.content,Method,Jekyll/Slides/Deck.md#method-i-content
Jekyll::Slides::Deck.deck?,Method,Jekyll/Slides/Deck.md#method-i-deck-3F
Jekyll::Slides::Deck.initialize,Method,Jekyll/Slides/Deck.md#method-i-initialize
Jekyll::Slides::Deck.slide_paths,Method,Jekyll/Slides/Deck.md#method-i-slide_paths
Jekyll::Slides::Assets::SiteAssetFile,Class,Jekyll/Slides/Assets/SiteAssetFile.md
Jekyll::Slides::Assets::SiteAssetFile.write,Method,Jekyll/Slides/Assets/SiteAssetFile.md#method-i-write
Jekyll::Slides::Layout,Class,Jekyll/Slides/Layout.md
Jekyll::Slides::Layout.initialize,Method,Jekyll/Slides/Layout.md#method-i-initialize
Jekyll::Slides::Renderer,Class,Jekyll/Slides/Renderer.md
Jekyll::Slides::Renderer.convert,Method,Jekyll/Slides/Renderer.md#method-i-convert
Jekyll::Slides::SlideFile,Class,Jekyll/Slides/SlideFile.md
Jekyll::Slides::SlideFile.initialize,Method,Jekyll/Slides/SlideFile.md#method-i-initialize
Jekyll::Slides::SlideFile.slides,Method,Jekyll/Slides/SlideFile.md#method-i-slides
